안녕하시다,merhaba
저,ben
제 (저의),benim
씨,bey/hanım
어느,hangi
나라,ülke
사람,insan
만나다,buluşmak
반갑다,memnun olmak
처음 뵙다,(ilk defa görüşülen insanlara) memnun oldum
저도,ben de
한국,kore
일본,japonya
중국,çin
캐나다,kanada
영국,ingiltere
러시아,rusya
인도,hindistan
호주,avustralya
태국,tayland
독일,almanya
미국,abd
이집트,mısır
이름,isim
친구,arkadaş
한국어,korece
일본어,japonca
중국어,çince
러시아어,rusça
인도어,hintçe
누구,kim
태국어,taylandca
독일어,almanca
남자,erkek
여자,kadın
선생님,öğretmen
학생,öğrenci
수도,başkent
서울,seul
하지만,ama
영/공,0
일,1 (çince)
이,2 (çince)
삼,3 (çince)
사,4 (çince)
오,5 (çince)
육,6 (çince)
칠,7 (çince)
팔,8 (çince)
구,9 (çince)
십,10 (çince)
이십,20 (çince)
삼십,30 (çince)
사십,40 (çince)
오십,50 (çince)
육십,60 (çince)
칠십,70 (çince)
팔십,80 (çince)
구십,90 (çince)
백,100 (çince)
천,1000 (çince)
만,10000 (çince)
십만,100000 (çince)
백만,1000000 (çince)
천만,10000000 (çince)
억,100000000 (çince)
일월,ocak
이월,şubat
삼월,mart
사월,nisan
오월,mayıs
유월,haziran
칠월,temmuz
팔월,ağustos
구월,eylül
시월,ekim
십일월,kasım
십이월,aralık
몇,kaç
며칠,kaç gün
무슨 요일,hangi gün
일요일,pazar
월요일,pazartesi
화요일,salı
수요일,çarşamba
목요일,perşembe
금요일,cuma
토요일,cumartesi
휴일,tatil günleri
몸무게,vücut kütlesi
킬로그램,kilogram
그렇다,öyle olmak
봄,ilkbahar
여름,yaz
가을,sonbahar
겨울,kış
언제부터,ne zamandan
언제까지,ne zamana kadar
어디에서,nereden
어디까지,nereye
생일,doğum günü
날짜,gün/tarih
참,aklıma gelmişken / bu arada
어린이날,çocuk bayramı
방학,okul tatili
사전,sözlük
잡지,dergi
교과서,ders kitabı
돈,para
여권,pasaport
신분증 카드,kimlik kartı
연필,kurşun kalem
필통,kalem kutusu
지우개,tebeşir
자,silgi
볼펜,cetvel
손수건,tükenmez kalem
모자,mendil
거울,şapka
열쇠,ayna
수첩,anahtar
과자,ajanda
휴지,atıştırmalık
창문,peçete/tuvalet kağıdı
지도,pencere
칠판,harita
분필,yazı tahtası
그림,resm
달력,takvim
종이,kağıt
옷걸이,elbise askısı
문,kapı
교실,sınıf
책상,sıra
지갑,cüzdan
의자,sandalye
텔레비전,televizyon
컴퓨터,bilgisayar
가방,çanta
책,kitap
이,bu
저,şu
그,o
물건,eşya
가수,şarkıcı
은행원,banka çalışanı
비서,sekreter
간호사,hemşire
의사,doktor
변호사,avukat
회사원,şirket çalışanı
교수,profesör
경찰,polis
기자,gazeteci
모델,model
영화배우,sinema oyuncusu
회계사,muhasebeci
무엇,ne
은행,banka
서점,kitapçı
사무실,ofis
화장실,banyo/tuvalet
우체국,postane
