나중(에),sonra
쇼핑(을) 하다,alışveriş yapmak
세일 기간,indirim dönemi
교통,trafik
막히다,(lavabo / trafik) tıkanmak / sıkışmak
아니면,ya da / yoksa
악기,müzik aleti
연극,tiyatro
산,dağ
바다,deniz
인형,oyuncak bebek
열쇠고리,anahtarlık
데이트(를) 하다,biriyle çıkmak
태권도,taekwondo
유도,judo
뚱뚱하다,şişman olmak
날씬하다,zayıf olmak
약속,söz / randevu
시험,sınav
농구,basketbol
주로,genelde
놀러가다,eğlenmeye gitmek
놀러오다,eğlenmeye gelmek
피곤하다,yorgun olmak
담배(를) 피우다,sigara içmek
매일,her gün
핸드폰,cep telefonu
활짝,tam olarak
오래오래,uzun yıllar boyunca
행복하다,mutlu olmak
마음,kalp
